trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.5, 'e': 0.8842636625608209}",35,3,-90.05422752646896,"{0: 22, 1: 2, 2: 7, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.8833798408827509}",20,0,-102.97003672898825,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.8824969025845955}",25,0,-145.02277596883357,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
126,False,"{'a': 0.5, 'e': 0.8816148467834161}",20,10,-30.739163666584272,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.880733672597157}",30,0,-168.1034229608857,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
128,False,"{'a': 0.5, 'e': 0.8798533791446438}",20,0,-61.87496476255882,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.8789739655455832}",30,0,-148.35438442164212,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-189.432660846896,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
131,False,"{'a': 0.5, 'e': 0.8772177743910435}",25,0,-121.80866059007151,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.8763409950793732}",20,5,-62.032647112366405,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.8754650921087711}",20,0,-37.78377166058529,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.874590064603334}",35,0,-171.87362519248092,"{0: 23, 1: 2, 2: 5, 3: 3, 4: 2}",0
135,False,"{'a': 0.5, 'e': 0.8737159116880344}",25,0,-110.0181556904333,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.8728426324887193}",20,0,-30.051916196071566,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.8719702261321094}",20,4,-107.62824185477749,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 2}",1
138,False,"{'a': 0.5, 'e': 0.8710986917457983}",20,0,-29.3841415835009,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.8702280284582515}",30,0,-134.3136356128541,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-8.23255432903995,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.868489311697668}",20,0,-105.12423105505101,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
142,False,"{'a': 0.5, 'e': 0.867621256485914}",25,0,-171.84409563870634,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
143,False,"{'a': 0.5, 'e': 0.866754068895489}",20,0,-84.69801496189051,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.865887748059205}",25,0,-146.72358143551304,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.8650222931107413}",25,0,-45.732318095210104,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.8641577031846428}",20,0,-108.3063834278531,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.8632939774163194}",25,6,-120.20507629715175,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 3}",1
148,False,"{'a': 0.5, 'e': 0.8624311149420455}",35,13,-59.87279403563033,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.8615691148989583}",20,14,-3.2326616173220293,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-80.91121726226925,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.8598476986592055}",25,0,-54.74774881636256,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.8589882807411235}",20,0,-36.98956028231508,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.8581297218113938}",20,13,0.2751267839002287,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
